station_id,station_name,timestamp,latitude,longitude,PM2.5
MB_01,BKC,2025-01-01 00:00:00,19.055359,72.865056,115.67
MB_01,BKC,2025-01-01 03:00:00,19.061758,72.865564,103.3
MB_01,BKC,2025-01-01 06:00:00,19.059388,72.867435,99.02
MB_01,BKC,2025-01-01 09:00:00,19.059522,72.86905,55.15
MB_01,BKC,2025-01-01 12:00:00,19.060119,72.865303,94.75
MB_01,BKC,2025-01-01 15:00:00,19.059297,72.869034,111.7
MB_01,BKC,2025-01-01 18:00:00,19.05972,72.862286,90.68
MB_01,BKC,2025-01-01 21:00:00,19.062534,72.870768,70.01
MB_01,BKC,2025-01-02 00:00:00,19.059101,72.868668,99.87
MB_01,BKC,2025-01-02 03:00:00,19.052405,72.868581,103.17
MB_01,BKC,2025-01-02 06:00:00,19.059565,72.864276,66.49
MB_01,BKC,2025-01-02 09:00:00,19.059741,72.868281,63.58
MB_01,BKC,2025-01-02 12:00:00,19.06383,72.870202,73.15
MB_01,BKC,2025-01-02 15:00:00,19.059432,72.864165,111.54
MB_01,BKC,2025-01-02 18:00:00,19.062976,72.868796,89.33
MB_01,BKC,2025-01-02 21:00:00,19.060518,72.858496,48.55
MB_01,BKC,2025-01-03 00:00:00,19.058013,72.863089,102.08
MB_01,BKC,2025-01-03 03:00:00,19.057658,72.865571,114.46
MB_01,BKC,2025-01-03 06:00:00,19.059821,72.868479,75.72
MB_01,BKC,2025-01-03 09:00:00,19.06152,72.865769,63.14
MB_01,BKC,2025-01-03 12:00:00,19.058549,72.86792,76.33
MB_01,BKC,2025-01-03 15:00:00,19.0592,72.866208,103.01
MB_01,BKC,2025-01-03 18:00:00,19.061225,72.86468,104.04
MB_01,BKC,2025-01-03 21:00:00,19.062192,72.871934,105.61
MB_01,BKC,2025-01-04 00:00:00,19.061706,72.869056,88.16
MB_01,BKC,2025-01-04 03:00:00,19.058842,72.861511,124.85
MB_01,BKC,2025-01-04 06:00:00,19.058155,72.864714,118.05
MB_01,BKC,2025-01-04 09:00:00,19.055781,72.868057,111.14
MB_01,BKC,2025-01-04 12:00:00,19.057273,72.866103,70.95
MB_01,BKC,2025-01-04 15:00:00,19.062451,72.868844,110.55
MB_01,BKC,2025-01-04 18:00:00,19.056169,72.864572,90.84
MB_01,BKC,2025-01-04 21:00:00,19.058983,72.854705,101.06
MB_01,BKC,2025-01-05 00:00:00,19.058879,72.868166,91.88
MB_01,BKC,2025-01-05 03:00:00,19.061799,72.861112,105.03
MB_01,BKC,2025-01-05 06:00:00,19.060389,72.867006,106.18
MB_01,BKC,2025-01-05 09:00:00,19.054957,72.867778,72.79
MB_01,BKC,2025-01-05 12:00:00,19.057287,72.869775,65.41
MB_01,BKC,2025-01-05 15:00:00,19.060706,72.867474,110.09
MB_01,BKC,2025-01-05 18:00:00,19.059536,72.862896,116.06
MB_01,BKC,2025-01-05 21:00:00,19.058722,72.866593,140.79
MB_01,BKC,2025-01-06 00:00:00,19.058001,72.864323,126.33
MB_01,BKC,2025-01-06 03:00:00,19.057383,72.866837,141.27
MB_01,BKC,2025-01-06 06:00:00,19.058958,72.865318,117.16
MB_01,BKC,2025-01-06 09:00:00,19.059188,72.859368,102.37
MB_01,BKC,2025-01-06 12:00:00,19.056674,72.866246,110.17
MB_01,BKC,2025-01-06 15:00:00,19.058067,72.864291,90.84
MB_01,BKC,2025-01-06 18:00:00,19.056969,72.871549,112.1
MB_01,BKC,2025-01-06 21:00:00,19.062243,72.865573,104.75
MB_02,Andheri,2025-01-01 00:00:00,19.113398,72.844286,115.79
MB_02,Andheri,2025-01-01 03:00:00,19.11811,72.847956,95.74
MB_02,Andheri,2025-01-01 06:00:00,19.119478,72.846252,96.99
MB_02,Andheri,2025-01-01 09:00:00,19.120674,72.839724,108.07
MB_02,Andheri,2025-01-01 12:00:00,19.121378,72.849878,86.02
MB_02,Andheri,2025-01-01 15:00:00,19.116986,72.84907,101.6
MB_02,Andheri,2025-01-01 18:00:00,19.122838,72.851044,95.01
MB_02,Andheri,2025-01-01 21:00:00,19.122327,72.849501,87.63
MB_02,Andheri,2025-01-02 00:00:00,19.125574,72.849537,97.1
MB_02,Andheri,2025-01-02 03:00:00,19.12048,72.848981,87.28
MB_02,Andheri,2025-01-02 06:00:00,19.121563,72.847268,107.96
MB_02,Andheri,2025-01-02 09:00:00,19.119042,72.84343,86.91
