station_id,station_name,timestamp,latitude,longitude,PM2.5
PU_01,Hadapsar,2025-01-01 00:00:00,18.506985,73.946443,80.65
PU_01,Hadapsar,2025-01-01 03:00:00,18.506698,73.943798,90.65
PU_01,Hadapsar,2025-01-01 06:00:00,18.509702,73.943092,81.31
PU_01,Hadapsar,2025-01-01 09:00:00,18.50601,73.943103,61.32
PU_01,Hadapsar,2025-01-01 12:00:00,18.50166,73.939325,58.39
PU_01,Hadapsar,2025-01-01 15:00:00,18.504362,73.945443,63.73
PU_01,Hadapsar,2025-01-01 18:00:00,18.503163,73.948897,60.36
PU_01,Hadapsar,2025-01-01 21:00:00,18.507603,73.940226,63.72
PU_01,Hadapsar,2025-01-02 00:00:00,18.507733,73.941047,64.87
PU_01,Hadapsar,2025-01-02 03:00:00,18.505598,73.943625,73.84
PU_01,Hadapsar,2025-01-02 06:00:00,18.512957,73.94446,55.16
PU_01,Hadapsar,2025-01-02 09:00:00,18.509868,73.940837,41.56
PU_01,Hadapsar,2025-01-02 12:00:00,18.501521,73.940515,53.91
PU_01,Hadapsar,2025-01-02 15:00:00,18.509615,73.945014,65.99
PU_01,Hadapsar,2025-01-02 18:00:00,18.506497,73.940064,62.95
PU_01,Hadapsar,2025-01-02 21:00:00,18.506018,73.947671,54.0
PU_01,Hadapsar,2025-01-03 00:00:00,18.502111,73.945472,70.67
PU_01,Hadapsar,2025-01-03 03:00:00,18.505369,73.946335,63.57
PU_01,Hadapsar,2025-01-03 06:00:00,18.510194,73.941982,68.59
PU_01,Hadapsar,2025-01-03 09:00:00,18.508394,73.947427,46.75
PU_01,Hadapsar,2025-01-03 12:00:00,18.506843,73.941181,45.09
PU_01,Hadapsar,2025-01-03 15:00:00,18.509838,73.948569,49.81
PU_01,Hadapsar,2025-01-03 18:00:00,18.510411,73.945585,60.77
PU_01,Hadapsar,2025-01-03 21:00:00,18.508484,73.949114,52.25
PU_01,Hadapsar,2025-01-04 00:00:00,18.512094,73.936641,68.62
PU_01,Hadapsar,2025-01-04 03:00:00,18.507661,73.943603,76.99
PU_01,Hadapsar,2025-01-04 06:00:00,18.501437,73.943841,60.87
PU_01,Hadapsar,2025-01-04 09:00:00,18.511834,73.942945,54.46
PU_01,Hadapsar,2025-01-04 12:00:00,18.505895,73.947246,43.1
